"","Variables","Estimate","Std..Error","t.value","Pr...t..","Estimate.2011","Std..Error.2011","t.value.2011","Pr...t...2011","Estimate.2013","Std..Error.2013","t.value.2013","Pr...t...2013","Estimate.2015","Std..Error.2015","t.value.2015","Pr...t...2015","Estimate.2017","Std..Error.2017","t.value.2017","Pr...t...2017","Estimate.hypertention_aware","Std..Error.hypertention_aware","t.value.hypertention_aware","Pr...t...hypertention_aware"
"1","(Intercept)",-6.73184619574459,0.716538588413389,-9.3949527696069,7.77466228561599e-21,-7.16544005512605,1.47872660763903,-4.84568277740438,1.38514606540654e-06,-5.58378030920973,0.869379112496254,-6.42272195058492,1.74128624456608e-10,-8.76479921835381,1.97311024741277,-4.44212340889041,9.63977183459038e-06,-8.64991345021924,1.54472032004343,-5.59966314806814,2.35537147456818e-08,-0.986322010259254,0.343369501204868,-2.87247995759173,0.00408692543638379
"2","bp_med_combinationYes",0.367972680175472,0.167995372212428,2.19037390928945,0.0285328211508391,NA,NA,NA,NA,NA,NA,NA,NA,0.23960429563907,0.367514637188506,0.6519585110189,0.514539577743201,0.723853483035945,0.260721143784699,2.77635128677441,0.0055337070639942,NA,NA,NA,NA
"3","bp_med_aceYes",1.08650729816428,0.328208682604385,3.31041607291643,0.000936692129324696,0.635220761713497,0.309271498580224,2.05392596676257,0.0401464728994539,0.986448185326183,0.278498907999238,3.54201814439029,0.000407998528500708,1.12111042722578,0.358955899669472,3.12325393804115,0.00182689031314204,0.234192811648779,0.382617775865338,0.612080322507553,0.540534137230182,NA,NA,NA,NA
"4","bp_med_aldoYes",1.51346119587859,0.389944813857668,3.8812189368699,0.000104971187088649,0.510288458326367,0.894163383598623,0.570688162461625,0.568291888664178,1.3394140076605,0.585952118031628,2.28587621145556,0.02238641493758,1.51099375131722,0.616601348163261,2.45051970096755,0.0143919317133929,0.493813451834745,0.526662633315387,0.937627658765434,0.348516371542424,NA,NA,NA,NA
"5","bp_med_angiotenYes",0.516481658236885,0.332552633701108,1.55308244739715,0.120452524004454,0.230587451778438,0.380627377909516,0.605808896472114,0.544728345897672,0.494163089296937,0.301722644294226,1.63780577507816,0.101650830804602,0.457191983271036,0.388050966023157,1.17817509374208,0.238935681994849,-0.51157022751252,0.377017817562046,-1.35688607721658,0.174926397752967,NA,NA,NA,NA
"6","bp_med_betaYes",0.6735843901905,0.324641412573291,2.07485663905689,0.0380393981515662,-0.399164300563621,0.310994046203618,-1.28351106857614,0.199500581628029,0.480322528005673,0.273311280442155,1.7574193323767,0.07902979033181,0.661564692102381,0.329452066053921,2.00807571197354,0.0448353352171203,-0.196355666476264,0.380936902973352,-0.515454567262022,0.606275958176706,NA,NA,NA,NA
"7","bp_med_centralYes",-0.0917447707698516,0.400724059748181,-0.2289474977557,0.818916984962602,0.457231990657584,0.826544766425996,0.553184787116454,0.580214848039251,NA,NA,NA,NA,-1.01975615548477,0.857136265146695,-1.18972466450273,0.234365065899829,-1.39467610639548,0.690720551389521,-2.01916115510073,0.0435652533395639,NA,NA,NA,NA
"8","bp_med_ccbYes",-0.122337622233079,0.405051905075709,-0.302029494738983,0.76263932115011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.62453744328113,0.375451581218032,-1.66343005203232,0.0963378921886665,NA,NA,NA,NA
"9","bp_med_ccb_dhYes",0.574235617902396,0.274831211092064,2.08941195441604,0.0367097607253397,NA,NA,NA,NA,0.883408814880859,0.275612688395646,3.20525451866248,0.00137496251998119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","bp_med_diur_KsparingYes",0.280668792618067,0.435370778395081,0.644666124935403,0.519166510304516,NA,NA,NA,NA,NA,NA,NA,NA,0.550919290872576,0.583962619679226,0.943415335685696,0.345638308441011,-0.265066248745332,0.566595073001088,-0.467823073965952,0.639947397955577,NA,NA,NA,NA
"11","bp_med_diur_loopYes",0.605216215899182,0.358345280978627,1.68891917383804,0.091283277763387,0.48681553405666,0.469109404836854,1.03774413609543,0.29954737652971,NA,NA,NA,NA,0.0281844445745711,0.563556419421088,0.0500117532216624,0.960120464518232,0.0372937717613534,0.440435606881396,0.0846747428651839,0.932526008008993,NA,NA,NA,NA
